"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","C/EO (National)","24476","26061","HR Support Officer","3.54","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","D/HEO (London Inner)","32430","36478","HR Officer","4.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","D/HEO (National)","28307","32239","HR Officer","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","E/SEO (London Inner)","36852","42841","HR Officer","3.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","E/SEO (National)","32566","38700","HR Officer","1.86","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","F/G7 (London Inner)","50476","61530","Senior HR Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","F/G7 (National)","45905","56707","Senior HR Manager","6.92","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","F/G7 Principal Psychologist (National)","46455","56792","Senior HR Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","G/G6 (London Inner)","61852","74957","Senior HR Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","G/G6 (National)","56706","69407","Senior HR Manager","3.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","G/G6 Senior Principal Psychologist (London Inner)","61937","75042","Senior HR Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP412","C/EO (London Inner)","27485","30195","HR Support Officer","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP412","C/EO (National)","24476","26061","HR Officer","5.20","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP412","C/EO (National)","24476","26061","HR Support Officer","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP412","C/EO Legacy (London Inner)","25056","29438","HR Support Officer","0.44","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP412","D/HEO (London Inner)","32430","36478","HR Support Officer","3.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP412","D/HEO (National)","28307","32239","HR Officer","15.11","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP412","D/HEO (National)","28307","32239","HR Support Officer","5.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP412","E/SEO (National)","32566","38700","HR Officer","9.20","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP412","F/G7 (London Inner)","50476","61530","HR Officer","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP412","F/G7 (National)","45905","56707","HR Officer","4.48","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP412","F/G7 (National)","45905","56707","Senior HR Manager","4.65","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP412","G/G6 (National)","56706","69407","Senior HR Manager","4.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","A/AA (London Inner)","20235","20235","Operations Support Officer","14.28","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","A/AA (London Other)","19635","19635","Operations Support Officer","10.18","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","A/AA (National)","17758","17758","Operations Support Officer","36.97","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","A/AA (Spec Loc Pay Zone)","18174","18174","Operations Support Officer","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","A/AA Legacy (London Inner)","19563","19583","Operations Support Officer","8.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","A/AA Legacy (London Other)","18337","18377","Operations Support Officer","0.60","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","A/AA Legacy (National)","16484","16484","Operations Support Officer","6.44","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","A/AA Legacy (Spec Loc Pay Zone)","17765","17870","Operations Support Officer","2.49","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","B/AO (London Inner)","22649","23457","Operations Support Officer","138.43","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","B/AO (London Other)","21394","23344","Operations Support Officer","66.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","B/AO (National)","18478","19983","Operations Support Officer","2011.33","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","B/AO (Spec Loc Pay Zone)","19267","22145","Operations Support Officer","13.67","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","B/AO Legacy (London Inner)","20905","22529","Operations Support Officer","154.81","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","B/AO Legacy (London Other)","19503","22302","Operations Support Officer","30.89","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","B/AO Legacy (National)","16845","19583","Operations Support Officer","708.57","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","B/AO Legacy (Spec Loc Pay Zone)","18946","21775","Operations Support Officer","30.57","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","C/EO (London Inner)","27485","30195","Operations Support Officer","84.39","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","C/EO (London Other)","25914","29580","Operations Support Officer","26.18","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","C/EO (National)","24476","26061","Directors Office","0.81","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","C/EO (National)","24476","26061","Operations Support Officer","384.20","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","C/EO (Spec Loc Pay Zone)","24476","28185","Operations Support Officer","8.95","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","DWP376","C/EO Legacy (London Inner)","25056","29438","Operations Support Officer","17.58","Operational Delivery"
